item_id,timestamp,target,color
H2,1750-01-01 00:00:00, 2985.0,red
H2,1750-01-01 01:00:00,2990.0,red
H2,1750-01-01 02:00:00,2862.0,red
H2,1750-01-01 03:00:00,2809.0,red
H2,1750-01-01 04:00:00,2544.0,red
H2,1750-01-01 05:00:00,2201.0,blue
H2,1750-01-01 06:00:00,1996.0,blue
H2,1750-01-01 07:00:00,1861.0,blue
H2,1750-01-01 08:00:00,1735.0,blue
H2,1750-01-01 09:00:00,1713.0,blue
H2,1750-01-01 10:00:00,1724.0,blue
H2,1750-01-01 11:00:00,1798.0,blue
H2,1750-01-01 12:00:00,1891.0,blue
H2,1750-01-01 13:00:00,2037.0,blue
H2,1750-01-01 14:00:00,2102.0,blue
